Timestamp,CPU Percentage,RAM Percentage,RAM Memory,GPU Memory,GPU Temperature
2024-05-29 20:50:47.426276,6.5,45.8,7821.533184,716,67
2024-05-29 20:50:52.691189,6.5,45.8,7820.36992,716,67
2024-05-29 20:50:57.956100,7.3,45.8,7819.546624,716,67
2024-05-29 20:51:03.205890,7.1,45.8,7823.552512,716,67
2024-05-29 20:51:08.471502,7.2,45.8,7811.366912,716,67
2024-05-29 20:51:13.723438,7.3,45.8,7812.870144,716,67
2024-05-29 20:51:18.973736,6.9,45.7,7809.306624,716,67
2024-05-29 20:51:24.224041,6.4,45.8,7811.678208,716,67
2024-05-29 20:51:29.472805,7.3,45.7,7809.31072,716,67
2024-05-29 20:51:34.707418,6.8,45.7,7807.766528,716,67
2024-05-29 20:51:39.959345,7.3,45.7,7808.475136,716,67
2024-05-29 20:51:45.207101,6.5,45.7,7804.8256,716,67
2024-05-29 20:51:50.471985,7.2,45.7,7807.553536,716,67
2024-05-29 20:51:55.724291,7.1,45.7,7806.34112,716,67
2024-05-29 20:52:00.969767,6.6,45.7,7810.92864,716,67
2024-05-29 20:52:06.212071,6.9,45.7,7807.844352,716,67
2024-05-29 20:52:11.442740,6.4,45.7,7810.392064,716,67
2024-05-29 20:52:16.707144,6.9,45.7,7805.157376,716,67
2024-05-29 20:52:21.972866,7.5,45.4,7759.52384,716,67
2024-05-29 20:52:27.238796,6.3,45.5,7767.355392,716,67
2024-05-29 20:52:32.473483,6.9,45.5,7771.869184,716,67
2024-05-29 20:52:37.723880,6.9,45.5,7771.308032,716,68
2024-05-29 20:52:42.956573,6.9,45.6,7777.42336,716,67
2024-05-29 20:52:48.222677,7.1,45.5,7775.338496,716,67
2024-05-29 20:52:53.489069,7.0,45.6,7782.576128,716,67
2024-05-29 20:52:58.752889,7.2,45.6,7780.51584,716,67
2024-05-29 20:53:03.989085,7.2,45.6,7780.88448,716,67
2024-05-29 20:53:09.223824,7.2,45.7,7795.769344,716,67
2024-05-29 20:53:14.471135,6.9,45.7,7794.286592,716,67
2024-05-29 20:53:19.721751,6.3,45.7,7797.235712,716,67
2024-05-29 20:53:24.944502,7.6,45.7,7798.214656,716,67
2024-05-29 20:53:30.189210,8.2,45.7,7801.171968,716,67
2024-05-29 20:53:35.441642,8.4,45.7,7802.55232,716,67
2024-05-29 20:53:40.691979,7.5,45.7,7805.198336,716,67
2024-05-29 20:53:45.952988,7.6,45.7,7799.996416,716,67
2024-05-29 20:53:51.222958,6.8,45.7,7799.914496,716,67
2024-05-29 20:53:56.474305,7.2,45.6,7790.166016,716,67
2024-05-29 20:54:01.722910,7.0,45.6,7793.442816,716,67
2024-05-29 20:54:06.987088,6.7,45.6,7793.41824,716,67
2024-05-29 20:54:12.255442,6.9,45.7,7794.900992,716,67
2024-05-29 20:54:17.503765,7.2,45.6,7793.504256,716,67
2024-05-29 20:54:22.770627,7.4,45.6,7790.600192,716,67
2024-05-29 20:54:28.017328,6.8,45.7,7794.376704,716,67
2024-05-29 20:54:33.270867,7.1,45.6,7789.42464,716,67
2024-05-29 20:54:38.533939,6.5,45.6,7790.825472,716,67
2024-05-29 20:54:43.799768,7.3,45.6,7788.42112,716,67
2024-05-29 20:54:49.035483,6.9,45.6,7791.722496,716,67
2024-05-29 20:54:54.301643,6.8,45.6,7787.60192,716,67
2024-05-29 20:54:59.565921,7.4,45.6,7790.104576,716,67
2024-05-29 20:55:04.830012,7.4,45.6,7791.894528,716,67
2024-05-29 20:55:10.066670,7.3,45.6,7791.325184,716,67
2024-05-29 20:55:15.318266,7.3,45.6,7789.449216,716,67
2024-05-29 20:55:20.576157,7.5,45.6,7788.48256,716,67
2024-05-29 20:55:25.844123,7.4,45.6,7792.082944,716,67
2024-05-29 20:55:31.083656,8.3,45.6,7790.034944,716,67
2024-05-29 20:55:36.303188,6.9,45.6,7792.51712,716,67
